 

stn;time;gre000z0;tre200s0;sre000z0
STG;202406160900;871;15.2;10
STG;202406160910;848;15.5;10
STG;202406160920;833;15.0;10
STG;202406160930;773;15.3;10
STG;202406160940;732;15.1;8
STG;202406160950;560;15.0;8
STG;202406161000;467;15.2;1
STG;202406161010;662;15.7;6
STG;202406161020;1009;16.1;10
STG;202406161030;979;16.4;10
STG;202406161040;1039;17.1;10
STG;202406161050;1028;16.9;10
STG;202406161100;1038;17.1;10
STG;202406161110;1003;17.5;10
STG;202406161120;1028;17.4;10
STG;202406161130;1075;17.4;10
STG;202406161140;1079;17.6;10
STG;202406161150;1029;18.1;10
STG;202406161200;1018;18.2;10
STG;202406161210;874;18.1;9
STG;202406161220;995;17.9;10
STG;202406161230;975;18.3;10
STG;202406161240;942;17.7;10
STG;202406161250;858;19.4;10
STG;202406161300;635;17.9;3
STG;202406161310;965;19.1;10
STG;202406161320;1009;19.3;10
STG;202406161330;835;19.0;10
STG;202406161340;820;18.7;10
STG;202406161350;849;18.8;10
STG;202406161400;703;18.7;10
STG;202406161410;840;18.4;10
STG;202406161420;809;19.1;10
STG;202406161430;777;19.9;10
STG;202406161440;679;19.7;10
STG;202406161450;728;20.2;10
STG;202406161500;643;19.8;10
STG;202406161510;674;20.7;10
STG;202406161520;611;20.7;10
STG;202406161530;480;20.5;9
STG;202406161540;527;20.5;10
STG;202406161550;490;20.7;10
STG;202406161600;451;19.4;10
STG;202406161610;413;19.6;7
STG;202406161620;266;19.3;2
STG;202406161630;229;18.6;2
STG;202406161640;297;19.5;6
STG;202406161650;202;19.1;1
STG;202406161700;140;18.8;0
STG;202406161710;179;19.5;2
STG;202406161720;164;19.2;0
STG;202406161730;120;19.0;0
STG;202406161740;143;19.0;2
STG;202406161750;101;19.1;0
STG;202406161800;80;18.9;0
STG;202406161810;59;18.8;0
STG;202406161820;45;18.8;0
STG;202406161830;42;18.4;0
STG;202406161840;65;18.5;8
STG;202406161850;66;18.6;10
STG;202406161900;31;18.2;2
STG;202406161910;19;17.1;0
STG;202406161920;11;18.0;0
STG;202406161930;2;17.2;0
STG;202406161940;0;17.4;0
STG;202406161950;0;16.9;0
STG;202406162000;0;16.7;0
STG;202406162010;0;16.0;0
STG;202406162020;0;15.8;0
STG;202406162030;0;15.4;0
STG;202406162040;0;15.3;0
STG;202406162050;0;15.6;0
STG;202406162100;0;15.0;0
STG;202406162110;0;15.1;0
STG;202406162120;0;15.7;0
STG;202406162130;0;15.4;0
STG;202406162140;0;14.9;0
STG;202406162150;0;14.9;0
STG;202406162200;0;14.9;0
STG;202406162210;0;15.2;0
STG;202406162220;0;15.0;0
STG;202406162230;0;14.4;0
STG;202406162240;0;14.3;0
STG;202406162250;0;15.4;0
STG;202406162300;0;15.0;0
STG;202406162310;0;15.4;0
STG;202406162320;0;15.7;0
STG;202406162330;0;15.9;0
STG;202406162340;0;15.7;0
STG;202406162350;0;16.3;0
STG;202406170000;0;17.1;0
STG;202406170010;0;17.1;0
STG;202406170020;0;16.5;0
STG;202406170030;0;16.1;0
STG;202406170040;0;15.6;0
STG;202406170050;0;15.6;0
STG;202406170100;0;16.0;0
STG;202406170110;0;16.0;0
STG;202406170120;0;16.3;0
STG;202406170130;0;16.0;0
STG;202406170140;0;16.0;0
STG;202406170150;0;16.0;0
STG;202406170200;0;16.6;0
STG;202406170210;0;16.8;0
STG;202406170220;0;16.2;0
STG;202406170230;0;16.4;0
STG;202406170240;0;15.9;0
STG;202406170250;0;15.9;0
STG;202406170300;0;17.0;0
STG;202406170310;0;16.4;0
STG;202406170320;0;17.1;0
STG;202406170330;0;16.3;0
STG;202406170340;2;16.9;0
STG;202406170350;5;17.1;0
STG;202406170400;10;16.4;0
STG;202406170410;17;16.1;0
STG;202406170420;20;16.8;0
STG;202406170430;23;16.7;0
STG;202406170440;30;16.8;0
STG;202406170450;43;16.9;0
STG;202406170500;51;17.0;0
STG;202406170510;70;17.6;0
STG;202406170520;68;17.6;0
STG;202406170530;77;17.1;0
STG;202406170540;97;17.3;0
STG;202406170550;109;17.4;0
STG;202406170600;133;17.4;0
STG;202406170610;178;17.5;0
STG;202406170620;188;17.8;0
STG;202406170630;210;17.9;0
STG;202406170640;226;17.9;0
STG;202406170650;296;18.3;3
STG;202406170700;320;18.3;2
STG;202406170710;295;18.3;0
STG;202406170720;392;18.4;4
STG;202406170730;423;18.7;4
STG;202406170740;539;19.1;9
STG;202406170750;656;19.1;10
STG;202406170800;651;19.5;10
STG;202406170810;705;19.7;10
STG;202406170820;725;20.6;10
STG;202406170830;738;19.7;10
STG;202406170840;768;20.3;10
STG;202406170850;791;19.9;10
STG;202406170900;804;20.4;10
STG;202406170910;855;20.5;10
STG;202406170920;842;20.0;9
STG;202406170930;805;20.6;9
STG;202406170940;603;19.3;10
STG;202406170950;577;19.5;6
STG;202406171000;609;19.4;5
STG;202406171010;515;19.2;0
STG;202406171020;511;19.5;0
STG;202406171030;665;19.3;4
STG;202406171040;630;19.5;2
STG;202406171050;504;19.6;0
STG;202406171100;550;19.5;0
STG;202406171110;574;20.0;0
STG;202406171120;559;19.5;0
STG;202406171130;573;20.3;1
STG;202406171140;380;20.0;0
STG;202406171150;346;19.8;0
STG;202406171200;352;19.5;0
STG;202406171210;248;19.3;0
STG;202406171220;211;19.0;0
STG;202406171230;261;19.1;0
STG;202406171240;181;19.0;0
STG;202406171250;175;19.0;0
STG;202406171300;237;19.2;0
STG;202406171310;329;19.5;0
STG;202406171320;599;20.7;3
STG;202406171330;506;19.4;2
STG;202406171340;528;20.9;2
STG;202406171350;393;19.8;0
STG;202406171400;596;20.2;3
STG;202406171410;467;20.0;2
STG;202406171420;325;20.0;0
STG;202406171430;525;20.8;3
STG;202406171440;478;20.1;4
STG;202406171450;548;20.6;6
STG;202406171500;625;20.7;10
STG;202406171510;534;20.8;9
STG;202406171520;535;20.1;8
STG;202406171530;196;19.5;0
STG;202406171540;164;19.3;0
STG;202406171550;201;18.9;1
STG;202406171600;281;20.1;1
STG;202406171610;307;18.9;3
STG;202406171620;461;19.3;10
STG;202406171630;319;19.0;6
STG;202406171640;232;18.4;4
STG;202406171650;132;17.9;1
STG;202406171700;115;17.8;1
STG;202406171710;102;17.8;0
STG;202406171720;92;17.6;0
STG;202406171730;56;17.0;0
STG;202406171740;50;17.1;0
STG;202406171750;24;17.0;0
STG;202406171800;27;16.8;0
STG;202406171810;40;16.7;0
STG;202406171820;19;16.7;0
STG;202406171830;28;16.4;0
STG;202406171840;35;16.3;0
STG;202406171850;35;15.9;0
STG;202406171900;13;15.4;0
STG;202406171910;5;15.3;0
STG;202406171920;1;15.0;0
STG;202406171930;0;15.0;0
STG;202406171940;0;15.0;0
STG;202406171950;0;14.4;0
STG;202406172000;0;14.2;0
STG;202406172010;0;13.9;0
STG;202406172020;0;13.8;0
STG;202406172030;0;13.7;0
STG;202406172040;0;13.4;0
STG;202406172050;0;13.4;0
STG;202406172100;0;13.7;0
STG;202406172110;0;13.7;0
STG;202406172120;0;13.6;0
STG;202406172130;0;13.8;0
STG;202406172140;0;13.4;0
STG;202406172150;0;13.7;0
STG;202406172200;0;13.7;0
STG;202406172210;0;14.9;0
STG;202406172220;0;14.0;0
STG;202406172230;0;13.6;0
STG;202406172240;0;13.9;0
STG;202406172250;0;14.1;0
STG;202406172300;0;14.2;0
STG;202406172310;0;14.3;0
STG;202406172320;0;14.4;0
STG;202406172330;0;13.9;0
STG;202406172340;0;14.4;0
STG;202406172350;0;13.7;0
STG;202406180000;0;13.8;0
STG;202406180010;0;13.7;0
STG;202406180020;0;15.1;0
STG;202406180030;0;14.9;0
STG;202406180040;0;13.9;0
STG;202406180050;0;13.9;0
STG;202406180100;0;13.8;0
STG;202406180110;0;14.6;0
STG;202406180120;0;13.6;0
STG;202406180130;0;13.6;0
STG;202406180140;0;13.1;0
STG;202406180150;0;12.8;0
STG;202406180200;0;12.7;0
STG;202406180210;0;12.4;0
STG;202406180220;0;12.6;0
STG;202406180230;0;13.4;0
STG;202406180240;0;13.4;0
STG;202406180250;0;13.9;0
STG;202406180300;0;14.0;0
STG;202406180310;0;14.1;0
STG;202406180320;1;14.5;0
STG;202406180330;2;13.8;0
STG;202406180340;7;14.2;0
STG;202406180350;16;13.6;0
STG;202406180400;24;13.3;0
STG;202406180410;47;13.3;7
STG;202406180420;48;13.4;4
STG;202406180430;70;13.7;6
STG;202406180440;120;14.1;10
STG;202406180450;145;14.3;10
STG;202406180500;159;14.6;10
STG;202406180510;190;14.4;10
STG;202406180520;216;16.2;10
STG;202406180530;253;15.2;10
STG;202406180540;302;16.3;10
STG;202406180550;329;16.1;10
STG;202406180600;336;16.5;10
STG;202406180610;249;16.5;9
STG;202406180620;352;16.7;10
STG;202406180630;403;17.2;10
STG;202406180640;475;17.0;10
STG;202406180650;507;17.4;10
STG;202406180700;502;18.0;10
STG;202406180710;441;17.8;10
STG;202406180720;511;18.1;10
STG;202406180730;650;18.6;10
STG;202406180740;644;19.4;10
STG;202406180750;530;19.3;10
STG;202406180800;650;20.2;10
STG;202406180810;611;20.0;10
STG;202406180820;691;21.1;10
STG;202406180830;747;24.6;10
STG;202406180840;736;25.0;10
STG;202406180850;717;25.2;10
STG;202406180900;759;25.5;10
STG;202406180910;830;25.6;10
STG;202406180920;845;26.1;10
STG;202406180930;881;26.1;10
STG;202406180940;890;26.6;10
STG;202406180950;888;26.2;10
STG;202406181000;935;26.6;10
STG;202406181010;917;26.8;10
STG;202406181020;897;26.8;10
